,State,Family,Housing,Food,Transportation,Healthcare,Other Necessities ,Childcare,Taxes,Total,num_parents,num_children,state_id
119,Hawaii,2p4c,2334.4,1785.2,1312.0,1552.4,1492.8,1667.6,2069.4,12213.6,2.0,4.0,15
120,Idaho,1p0c,581.7954545454545,281.02272727272725,995.3636363636364,416.90909090909093,312.6136363636364,0.0,490.84090909090907,3078.2727272727275,1.0,0.0,16
121,Idaho,1p1c,805.5,414.04545454545456,1053.2045454545455,625.5681818181819,441.84090909090907,520.9318181818181,466.65909090909093,4327.886363636364,1.0,1.0,16
122,Idaho,1p2c,805.5,606.6590909090909,1127.159090909091,834.5,511.77272727272725,1057.340909090909,517.3181818181819,5460.227272727273,1.0,2.0,16
123,Idaho,1p3c,1123.5227272727273,809.4090909090909,1206.4545454545455,1043.5681818181818,700.4090909090909,1222.3863636363637,743.2954545454545,6848.909090909091,1.0,3.0,16
124,Idaho,1p4c,1123.5227272727273,990.7272727272727,1228.8181818181818,1252.6136363636363,766.0681818181819,1222.3863636363637,722.6590909090909,7306.636363636364,1.0,4.0,16
125,Idaho,2p0c,627.9318181818181,515.1136363636364,1161.5,833.5,414.15909090909093,0.0,528.8409090909091,4080.9545454545455,2.0,0.0,16
126,Idaho,2p1c,805.5,641.1590909090909,1233.0,1042.2045454545455,524.2272727272727,520.9318181818181,611.2727272727273,5378.272727272727,2.0,1.0,16
127,Idaho,2p2c,805.5,812.0681818181819,1314.6136363636363,1251.2272727272727,586.0227272727273,1057.340909090909,646.6136363636364,6473.431818181818,2.0,2.0,16
128,Idaho,2p3c,1123.5227272727273,991.3409090909091,1335.2727272727273,1460.090909090909,766.3181818181819,1222.3863636363637,763.1590909090909,7662.204545454545,2.0,3.0,16
129,Idaho,2p4c,1123.5227272727273,1213.1363636363637,1337.6136363636363,1669.1363636363637,846.7272727272727,1222.3863636363637,725.4545454545455,8137.909090909091,2.0,4.0,16
130,Illinois,1p0c,560.1078431372549,247.33333333333334,900.6862745098039,519.5980392156863,292.54901960784315,0.0,499.38235294117646,3019.3823529411766,1.0,0.0,17
131,Illinois,1p1c,786.2549019607843,364.53921568627453,974.8823529411765,781.2450980392157,417.02941176470586,673.2843137254902,601.7254901960785,4598.813725490196,1.0,1.0,17
132,Illinois,1p2c,786.2549019607843,534.1078431372549,1073.421568627451,1043.1666666666667,478.4117647058824,1144.7941176470588,675.0490196078431,5734.990196078431,1.0,2.0,17
133,Illinois,1p3c,1029.813725490196,712.4901960784314,1124.5196078431372,1304.8235294117646,631.3137254901961,1289.9019607843138,854.1274509803922,6947.0392156862745,1.0,3.0,17
134,Illinois,1p4c,1029.813725490196,872.1862745098039,1156.313725490196,1566.5980392156862,689.156862745098,1289.9019607843138,855.3921568627451,7459.5392156862745,1.0,4.0,17
135,Illinois,2p0c,626.3039215686274,453.5,1083.5588235294117,1038.5882352941176,391.2647058823529,0.0,636.0588235294117,4229.411764705882,2.0,0.0,17
136,Illinois,2p1c,786.2549019607843,564.3627450980392,1182.5980392156862,1300.5882352941176,489.44117647058823,673.2843137254902,781.2156862745098,5777.598039215686,2.0,1.0,17
137,Illinois,2p2c,786.2549019607843,714.9313725490196,1231.3725490196077,1562.4411764705883,543.9313725490196,1144.7941176470588,815.7058823529412,6799.196078431372,2.0,2.0,17
138,Illinois,2p3c,1029.813725490196,872.6960784313726,1261.8921568627452,1824.264705882353,689.3823529411765,1289.9019607843138,909.3039215686274,7877.225490196079,2.0,3.0,17
139,Illinois,2p4c,1029.813725490196,1067.9901960784314,1280.0588235294117,2086.0196078431372,760.1078431372549,1289.9019607843138,896.7352941176471,8410.696078431372,2.0,4.0,17
140,Indiana,1p0c,558.554347826087,240.67391304347825,902.4782608695652,410.1847826086956,289.60869565217394,0.0,424.19565217391306,2825.358695652174,1.0,0.0,18
141,Indiana,1p1c,790.5652173913044,354.6521739130435,968.5326086956521,619.195652173913,414.9347826086956,681.8913043478261,483.3152173913044,4313.065217391304,1.0,1.0,18
142,Indiana,1p2c,790.5652173913044,519.5652173913044,1049.8695652173913,828.4565217391304,474.7282608695652,1317.8478260869565,554.6630434782609,5535.630434782609,1.0,2.0,18
143,Indiana,1p3c,1034.641304347826,693.1739130434783,1118.7826086956522,1037.804347826087,626.1304347826087,1513.5869565217392,702.6630434782609,6726.630434782609,1.0,3.0,18
144,Indiana,1p4c,1034.641304347826,848.5217391304348,1144.695652173913,1247.0217391304348,682.4239130434783,1513.5869565217392,662.2065217391304,7132.978260869565,1.0,4.0,18
145,Indiana,2p0c,626.6847826086956,441.1847826086956,1077.0217391304348,819.8478260869565,386.92391304347825,0.0,517.7391304347826,3869.554347826087,2.0,0.0,18
146,Indiana,2p1c,790.5652173913044,549.0869565217391,1156.8369565217392,1029.2391304347825,485.39130434782606,681.8913043478261,619.4239130434783,5312.467391304348,2.0,1.0,18
147,Indiana,2p2c,790.5652173913044,695.6304347826087,1226.4565217391305,1238.6304347826087,538.4021739130435,1317.8478260869565,665.0,6472.195652173913,2.0,2.0,18
148,Indiana,2p3c,1034.641304347826,849.054347826087,1250.5652173913043,1447.6847826086957,682.5434782608696,1513.5869565217392,732.8369565217391,7510.847826086957,2.0,3.0,18
149,Indiana,2p4c,1034.641304347826,1039.0326086956522,1259.5108695652175,1656.945652173913,751.3586956521739,1513.5869565217392,680.8913043478261,7935.880434782609,2.0,4.0,18
150,Iowa,1p0c,534.3131313131313,253.32323232323233,937.2323232323232,406.45454545454544,285.4343434343434,0.0,456.969696969697,2873.4848484848485,1.0,0.0,19
151,Iowa,1p1c,750.4444444444445,373.3838383838384,1009.5656565656566,607.8686868686868,407.24242424242425,615.9191919191919,526.5151515151515,4291.050505050505,1.0,1.0,19
152,Iowa,1p2c,750.4444444444445,547.1111111111111,1106.909090909091,809.8181818181819,470.16161616161617,932.1515151515151,552.2222222222222,5168.969696969697,1.0,2.0,19
153,Iowa,1p3c,992.5959595959596,729.89898989899,1156.3232323232323,1011.7070707070707,624.0808080808081,1029.4141414141413,704.6262626262626,6249.030303030303,1.0,3.0,19
154,Iowa,1p4c,992.5959595959596,893.3939393939394,1183.4141414141413,1213.959595959596,683.3939393939394,1029.4141414141413,688.5252525252525,6684.646464646465,1.0,4.0,19
155,Iowa,2p0c,585.7171717171717,464.5353535353535,1117.5353535353536,812.1212121212121,380.5353535353535,0.0,532.8383838383838,3893.4646464646466,2.0,0.0,19
156,Iowa,2p1c,750.4444444444445,578.2121212121212,1215.5555555555557,1014.2121212121212,481.44444444444446,615.9191919191919,664.1111111111111,5319.686868686868,2.0,1.0,19
157,Iowa,2p2c,750.4444444444445,732.4141414141415,1262.7676767676767,1216.2727272727273,537.2020202020202,932.1515151515151,653.989898989899,6084.888888888889,2.0,2.0,19
158,Iowa,2p3c,992.5959595959596,894.010101010101,1288.1919191919192,1418.2424242424242,683.5858585858585,1029.4141414141413,723.6363636363636,7029.585858585859,2.0,3.0,19
159,Iowa,2p4c,992.5959595959596,1094.060606060606,1302.3737373737374,1619.858585858586,756.10101010101,1029.4141414141413,684.7373737373738,7479.333333333333,2.0,4.0,19
160,Kansas,1p0c,556.3904761904762,261.83809523809526,950.6571428571428,479.44761904761907,296.42857142857144,0.0,479.4190476190476,3023.8,1.0,0.0,20
161,Kansas,1p1c,747.552380952381,385.8095238095238,1010.9047619047619,716.6095238095238,410.7238095238095,555.1619047619048,499.5047619047619,4326.228571428572,1.0,1.0,20
162,Kansas,1p2c,747.552380952381,565.3142857142857,1090.0666666666666,954.3523809523809,475.752380952381,845.9904761904762,488.5238095238095,5167.523809523809,1.0,2.0,20
163,Kansas,1p3c,982.8,754.1904761904761,1153.5333333333333,1191.5619047619048,629.3809523809524,935.6095238095238,620.5714285714286,6267.7904761904765,1.0,3.0,20
164,Kansas,1p4c,982.8,923.1238095238095,1174.0761904761905,1429.3142857142857,690.5904761904762,935.6095238095238,592.0761904761905,6727.552380952381,1.0,4.0,20
165,Kansas,2p0c,585.3619047619047,479.95238095238096,1118.9238095238095,958.0761904761905,386.04761904761904,0.0,550.1333333333333,4078.6761904761906,2.0,0.0,20
166,Kansas,2p1c,747.552380952381,597.4,1197.1904761904761,1195.847619047619,487.3047619047619,555.1619047619048,642.8380952380952,5423.228571428572,2.0,1.0,20
167,Kansas,2p2c,747.552380952381,756.7523809523809,1261.304761904762,1433.1238095238095,545.0666666666667,845.9904761904762,614.5333333333333,6204.257142857143,2.0,2.0,20
168,Kansas,2p3c,982.8,923.7523809523809,1280.1333333333334,1671.009523809524,690.8571428571429,935.6095238095238,676.8,7160.6,2.0,3.0,20
169,Kansas,2p4c,982.8,1130.3904761904762,1287.1714285714286,1908.5047619047618,765.7428571428571,935.6095238095238,637.847619047619,7647.942857142857,2.0,4.0,20
170,Kentucky,1p0c,513.7083333333334,239.9,931.0666666666667,421.725,273.10833333333335,0.0,464.3666666666667,2843.8333333333335,1.0,0.0,21
171,Kentucky,1p1c,713.9166666666666,353.5833333333333,992.575,631.9416666666667,386.775,504.65,490.45,4074.0,1.0,1.0,21
172,Kentucky,1p2c,713.9166666666666,518.05,1062.4416666666666,842.5583333333333,446.375,1000.9916666666667,531.2083333333334,5115.35,1.0,2.0,21
173,Kentucky,1p3c,946.0416666666666,691.1083333333333,1111.2916666666667,1052.5833333333333,593.1916666666667,1153.725,664.55,6212.458333333333,1.0,3.0,21
174,Kentucky,1p4c,946.0416666666666,845.9833333333333,1139.4666666666667,1262.6083333333333,649.3416666666667,1153.725,636.0833333333334,6633.383333333333,1.0,4.0,21
